Brand,Processor_Brand,Processor_Full,Price,Discount,Original_price,RAM_GB,OS,Platform,Storage_GB,Storage_unit,Display_cm,Display_inch,Warranty,Availability,Processor_Gen_Num,Clean_Description
Dell,Intel,Intel Core Ultra 9 Processor,487990,18,598529.0,64.0,Windows 11,Windows,2048.0,TB,45.72,18.0,1.0,In Stock,14.0,Intel Core Ultra 9 Processor; 64 GB DDR5 RAM; Windows 11 Operating System; 2 TB SSD; 45.72 cm (18 inch) Display; 1 Year Onsite Warranty
Dell,Intel,Intel Core Ultra 9 Processor,472990,18,581214.0,64.0,Windows 11,Windows,2048.0,TB,40.64,16.0,1.0,In Stock,14.0,Intel Core Ultra 9 Processor; 64 GB DDR5 RAM; Windows 11 Operating System; 2 TB SSD; 40.64 cm (16 inch) Display; 1 Year Onsite Warranty
Msi,Intel,Intel Core Ultra 9 Processor,459990,17,559990.0,64.0,Windows 11,Windows,2048.0,TB,45.72,18.0,2.0,In Stock,14.0,Intel Core Ultra 9 Processor; 64 GB DDR5 RAM; 64 bit Windows 11 Operating System; 2 TB SSD; 45.72 cm (18 inch) Display; 2 Year On-Site Warranty
Asus,Intel,Intel Core Ultra 9 Processor,449990,11,509990.0,64.0,Windows 11,Windows,2048.0,TB,45.72,18.0,1.0,In Stock,14.0,"Intel Core Ultra 9 Processor; 64 GB DDR5 RAM; Windows 11 Home Operating System; 2 TB SSD; 45.72 cm (18 inch) Display; Microsoft Office Home 2024 (Lifetime Validity) + Microsoft 365 Basic*(1 Year Validity), McAfee 1 Year; 1 Year Onsite Warranty"
Dell,Intel,Intel Core Ultra 9 Processor,448490,21,572317.0,32.0,Windows 11,Windows,1024.0,TB,40.64,16.0,1.0,In Stock,14.0,Intel Core Ultra 9 Processor; 32 GB LPDDR5X RAM; Windows 11 Home Operating System; 1 TB SSD; 40.64 cm (16 Inch) Display; Alienware Command Center 6.0; 1 Year Onsite Warranty
Asus,Intel,Intel Core Ultra 9 Processor,424990,11,479990.0,32.0,Windows 11,Windows,2048.0,TB,40.64,16.0,1.0,In Stock,14.0,"Intel Core Ultra 9 Processor; 32 GB DDR5 RAM; Windows 11 Home Operating System; 2 TB SSD; 40.64 cm (16 inch) Display; Microsoft Office Home 2024 (Lifetime Validity) + Microsoft 365 Basic*(1 Year Validity), McAfee 1 Year; 1 Year Onsite Warranty"
Msi,Intel,Intel Core Ultra 9 Processor,419990,12,481990.0,64.0,Windows 11,Windows,4096.0,TB,45.72,18.0,2.0,In Stock,14.0,Intel Core Ultra 9 Processor; 64 GB DDR5 RAM; 64 bit Windows 11 Operating System; 4 TB SSD; 45.72 cm (18 inch) Display; 2 Year On-Site Warranty
Dell,Intel,Intel Core Ultra 9 Processor,406490,19,502679.0,32.0,Windows 11,Windows,2048.0,TB,45.72,18.0,1.0,In Stock,14.0,Intel Core Ultra 9 Processor; 32 GB DDR5 RAM; Windows 11 Operating System; 2 TB SSD; 45.72 cm (18 inch) Display; 1 Year Onsite Warranty
Dell,Intel,Intel Core Ultra 9 Processor,396490,19,489538.0,32.0,Windows 11,Windows,2048.0,TB,40.64,16.0,1.0,In Stock,14.0,Intel Core Ultra 9 Processor; 32 GB DDR5 RAM; Windows 11 Operating System; 2 TB SSD; 40.64 cm (16 inch) Display; 1 Year Onsite Warranty
Alienware,Intel,NVIDIA GeForce RTX 2080 with Max-Q,377798,0,377798.0,32.0,Windows 10,Windows,1024.0,TB,39.62,15.6,1.0,In Stock,10.0,"NVIDIA GeForce RTX 2080 with Max-Q; 15.6 inch Full HD LED Backlit Anti-glare IPS Display, 300 Hz, 300 Nits; Alienware Cryo-tech thermal technology to keep the system cool and running at highest performance; Tobii-eye tracking to track head pose, presence, fine gaze and eye position; In-built Alienware Command center software with enhanced control over system settings; Intel Core i9 Processor (10th Gen); 32 GB DDR4 RAM; 64 bit Windows 10 Operating System; 1 TB SSD; 39.62 cm (15.6 inch) Display; Microsoft Office Home and Student 2019; 1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail"
